PremiseID,HypothesisID,Premise,TranslationToCZ,BinaryLabel,Hypothesis,MachineTranslationToENfromCZ,Grade,Partition
premID18,hypoID70,the crowd was a roaring river ,Dav byl impozantní a vypadal jako řeka.,0,the crowd was impressive and looked like a river,The crowd was impressive and looked like a river.,2,1
premID126,hypoID501,The guy was a floating whale in the small swimming pool. ,"Chlap vypadal tlustý a velký, když se vznášel v malém bazénu.",1,The guy looked fat and large while floating in the small swimming pool.,The guy looked fat and big while floating in a small pool.,4,1
premID93,hypoID372,My lawyer is a shark ,Můj právník je něco nebezpečného.,1,My lawyer is somewhat dangerous,My lawyer is something dangerous.,3,1
premID80,hypoID318,I was staring straight into the shining sun ,Zvažoval jsem svoji budoucí kariéru.,0,I was considering my future career,I considered my future career.,1,1
premID39,hypoID155,During the conflict the seeds of peace were planted. ,Byl konec války.,0,It was the end of the war.,The war was over.,2,1
premID58,hypoID230,He looked neither one way nor the other way but sat like a carved image. ,"Nedíval se na jednu ani na druhou stranu, ale seděl s nervózním škubáním a rozrušením.",0,He looked neither one way nor the other way but sat nervously twitching and agitated.,"He didn't look either way, but sat with nervous twitching and agitation.",1,1
premID159,hypoID634,Those galaxies were jellyfishes in the abyss of space. ,Tyto galaxie hostily medúzy v hlubinách vesmíru.,0,Those galaxies hosted jellyfishes in the abyss of space.,These galaxies have hosted jellyfish in the depths of space.,1,1
premID88,hypoID352,The faculty meeting was a circus ,Schůze fakulty byla velmi zajímavá.,0,The faculty meeting was very interesting,The faculty meeting was very interesting.,2,1
premID32,hypoID127,All the following sentences have nothing to do with this sentence ,"Myslí si, že tyto dokumenty budou dřív nebo později zveřejněny.",0,He thinks these documents will become known soon or late,They think these documents will be released sooner or later.,1,1
premID36,hypoID144,By that time my friend was broken so he had to sell his house ,V té době byl můj přítel bohatý a musel prodat svůj dům.,0,By that time my friend was wealthy and he had to sell his house,"At the time, my friend was rich and had to sell his house.",1,1
premID45,hypoID177,Floating on the waves we saw the abandoned boat a dark sight indeed. ,"Když jsme plavali ve vlnách, viděli jsme tu opuštěnou loď, opravdu vtipný pohled.",0,Floating on the waves we saw the abandoned boat a funny sight indeed.,"When we were swimming in the waves, we saw this abandoned boat, a really funny sight.",1,1
premID130,hypoID518,The man still had heavy feelings about the situation ,Muž měl stále ze situace dobré pocity.,0,The man still had good feelings about the situation,The man still felt good about the situation.,1,1
premID161,hypoID644,War was a nightmare. ,Válka byla hrozná věc.,1,War was a terrible thing.,War was a terrible thing.,4,1
premID89,hypoID354,Katie’s plan to get into college was a house of cards on a crooked table ,Plán Káti dostat se na univerzitu měl velmi malou šanci stát se realitou.,1,Katie’s plan to get into college had very little chances to become a reality,Katya's plan to get into university had very little chance of becoming a reality.,3,1
premID120,hypoID479,The faculty meeting was a tragedy ,Porada fakulty byla velmi složitá a emocionální.,1,The faculty meeting was very difficult and emotional,The faculty meeting was very complex and emotional.,3,1
premID80,hypoID320,I was staring straight into the shining sun ,Zkoušel jsem studovat.,0,I was trying to study,I tried to study.,1,1
premID183,hypoID732,The faculty meeting was an easy breeze,Na poradě fakulty jsme mluvili o vánku.,0,At the faculty meeting we talked about the breeze ,"At the faculty meeting, we talked about the breeze.",2,1
premID9,hypoID36,The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below on the faces that drift and blow ,Slunce a měsíc visí podél ulic a oslepují lidi.,0,the sun and the moon hang along the streets and blind people,"The sun and moon hang along the streets, blinding people.",1,1
premID153,hypoID609,She is fishing in troubled waters. ,Rybaří v jezeře.,0,She is fishing in a lake.,Fishing in the lake.,2,1
premID5,hypoID19,Success is a bastard as it has many father; failure is an orphan with no takers. ,Úspěch je psí rasa a neúspěch je dítě.,0,Success is a kind of dog and failure is a child.,Success is a dog race and failure is a child.,2,1
premID179,hypoID716,Her eyes were fireflies,Její oči ulétly pryč.,0,Her eyes were flying away ,Her eyes flicked away.,2,1
premID86,hypoID343,It always rained in my life he said ,"Řekl, že jsem byl vždy v životě šťastný.",0,I was always happy in my life he said,He said I've always been happy in my life.,1,1
premID44,hypoID174,Fear had changed him to a shaken jelly. ,Strach ho učinil silnějším.,0,Fear made him stronger.,Fear made him stronger.,1,1
premID23,hypoID92,we laid in fields of gold ,Lehli jsme si do polí růží.,0,we laid in fields of roses,We lay down in fields of roses.,2,1
premID119,hypoID473,The employee swallows her anger ,Zaměstnankyně na sobě nedává najevo hněv a pokračuje v práci jako obvykle.,1,The employee does not show her anger and continues as usual,The employee shows no anger at herself and continues to work as usual.,4,1
premID127,hypoID507,The house was a tomb. ,Dům je tmavý.,1,The house was dark.,The house is dark.,3,1
premID5,hypoID18,Success is a bastard as it has many father; failure is an orphan with no takers. ,Každý chce získat uznání za úspěch a nikdo nechce převzít odpovědnost za neúspěch.,1,Everyone wants to take credit for success and no one wants to take responsibility for failure.,"Everyone wants to get credit for success, and nobody wants to take responsibility for failure.",4,1
premID47,hypoID186,From its blue vase the rose of evening drops ,Upustila růži do modré vázy.,0,she dropped the rose in a blue vase,She dropped the rose into a blue vase.,2,1
premID26,hypoID101,A golden sun shines high in the sky ,Černé slunce svítí vysoko na nebi.,0,a black sun shines high in the sky,The black sun shines high in the sky.,1,1
premID137,hypoID546,The old woman had an open heart ,Stará žena byla chamtivá.,0,The old woman was greedy,The old woman was greedy.,1,1
premID79,hypoID313,I was on a rollercoaster of emotions. ,Prožíval jsem období normality.,0,I was experiencing a period of normality.,I was experiencing a period of normality.,1,1
premID78,hypoID311,I was in a very stormy relationship ,V našem vztahu jsme měli časté boje.,1,In our relationship we had frequent fights,We had frequent fights in our relationship.,4,1
premID69,hypoID274,His declarations sparked a fire in the community ,Jeho prohlášení způsobila intenzivní debaty komunity.,1,His declarations caused the community to have intense debates,His statements have caused intense community debate.,3,1
premID10,hypoID37,he was feeling down hurt and sad ,Měl zlomenou ruku.,0,he had a broken hand,His arm was broken.,1,1
premID7,hypoID28,David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance. ,"Když Pavel pozval svou novou přítelkyni k tanci, David se podíval na Pavla rozzlobeně.",1,When Paul invited his new girlfriend to dance David looked at Paul angrily.,"When Paul invited his new girlfriend to dance, David looked at Paul angrily.",4,1
premID43,hypoID170,I demolished his argument ,"Zbořil jsem jeho dům, aniž bych vyslechl jeho argumenty.",0,I demolished his house without listening to his arguments,I tore down his house without hearing his arguments.,1,1
premID32,hypoID125,All the following sentences have nothing to do with this sentence ,"Myslí si, že tyto dokumenty budou zničeny.",0,He thinks these documents will be destroyed,They think these documents will be destroyed.,1,1
premID114,hypoID456,He hated the stench of failure. ,"Nenáviděl vidět lidi, kteří selhali.",1,He hated to see people who failed.,He hated seeing people fail.,3,1
premID100,hypoID397,See the sun far off a shriveled orange in a sky gone black ,Na zčernalé obloze vypadá slunce malé a má oranžovou barvu.,1,in a sky gone black the sun looks small and has an orange color,The sun looks small and orange in the blackened sky.,3,2
premID170,hypoID679,Jane knew these dicsussions were the seeds of a potential conflict,Jana se snažila začít hádku.,0,Jane was trying to start a conflict ,Jana tried to start an argument.,2,2
premID106,hypoID424,The animal in the middle of the sea was a mountain. ,Zvíře bylo obrovské uprostřed moře.,1,The animal was huge in the middle of the sea.,The animal was huge in the middle of the sea.,4,2
premID131,hypoID521,The moment had arrived for killing the past and coming back to life ,"Byla to chvíle, kdy má člověk zapomenout na všechno, co se stalo, a soustředit se zase na svůj život.",1,it was the moment to forget everything had happened and focus on one's life again,It was the moment to forget everything that had happened and focus on your life again.,4,2
premID149,hypoID595,The woman burst in a warm laughter ,Žena měla záchvat smutného smíchu.,0,The woman burst in a sad laughter,The woman had a fit of sad laughter.,1,2
premID54,hypoID213,He is in such a hurry he does not run he flies ,"Tolik spěchá, že běží extrémně rychle.",1,He is in such a hurry that he runs extremely fast,He's in such a hurry that he's running extremely fast.,4,2
premID182,hypoID727,She knew she was burning in shame,"Věděla, že se cítí klidně.",0,She knew she was feeling calm ,She knew she felt calm.,2,2
premID166,hypoID664,With the crisis the bubble exploded. ,S krizí zůstalo vše stejné.,0,With the crisis everything stayed the same.,"With the crisis, everything remained the same.",1,2
premID144,hypoID573,The show was characterised by dark humor and satire ,Show se vyznačovala černým humorem a satirou.,1,The show was characterised by black humor and satire,The show was characterized by black humor and satire.,3,2
premID59,hypoID233,He pleaded for her forgiveness but Janet was a statue ,"Prosil ji, aby mu odpustila, ale Janet zůstala lhostejná k jeho prosbám.",1,He implored her to forgive him but Janet remained indifferent to his pleads,"He begged her to forgive him, but Janet remained indifferent to his pleas.",4,2
premID126,hypoID503,The guy was a floating whale in the small swimming pool. ,Ten kluk vypadal v bazénu malý a mrštný.,0,The guy looked short and agile in the small swimming pool.,The kid looked small and agile in the pool.,1,2
premID173,hypoID690,The warrior was a lion on the battlefield,Na bojišti bojovník bojoval s velkou silou a statečností.,1,The warrior fought with great strength and courage on the battlefield ,"On the battlefield, the fighter fought with great strength and bravery.",3,2
premID18,hypoID69,the crowd was a roaring river ,Dav byl veliký a hlučný.,1,the crowd was huge and noisy,The crowd was large and noisy.,4,2
premID27,hypoID106,He had a full bag of memories to unload. ,"Měl spoustu vzpomínek, kterých se potřeboval zbavit.",1,He had a lot of memories to unload.,He had a lot of memories he needed to get rid of.,4,2
premID122,hypoID487,The future looks very promising ,Budoucnost vypadá velmi jasně.,1,the future looks very bright,The future looks very bright.,4,2
premID96,hypoID382,Now you can fade off to sleep. ,Nyní můžeš jít spát.,1,Now you can go to sleep.,You can go to sleep now.,4,2
premID133,hypoID529,The new band was absolutely on fire ,Nová kapela zahájila palbu bez důvodu.,0,the new band started a fire for no reason,The new band opened fire for no reason.,1,2
premID99,hypoID393,People think the old man has a sour temper ,"Lidé si myslí, že starý muž má extrovertní povahu.",0,people think the old man has a outgoing temper,People think the old man has an extroverted nature.,2,2
premID168,hypoID672,You will love the new train it is a heavenly ride ,"Budete milovat nový vlak, nabízí jízdu, kterou si skutečně můžete užít.",1,You will love the new train it offers a ride you can really enjoy,"You'll love the new train, offering a ride you can actually enjoy.",4,2
premID125,hypoID497,The girl could still remember that sweet song ,"Byla to hezká a příjemná píseň, kterou si dívka mohla stále pamatovat.",1,that was a nice and fine song the girl could still remember,It was a nice and pleasant song that the girl could still remember.,4,2
premID165,hypoID659,When it rains in Tokyo the city becomes a sea of umbrellas. ,"Když v Tokyu prší, město je plné deštníků.",1,When it rains in Tokyo the city becomes full of umbrellas.,"When it rains in Tokyo, the city is full of umbrellas.",4,2
premID98,hypoID392,Our whole life we swim against the waves towards the green light of happiness. ,Celý život se snažíme dosáhnout spokojenosti.,1,Our whole life we try to reach happiness.,We've spent our lives trying to achieve contentment.,4,2
premID112,hypoID446,He felt a wave of anger ,Cítil mírné znechucení.,0,he felt a mild discouragement,He felt mildly disgusted.,2,2
premID134,hypoID534,The new city was a maze for him. ,Nové město bylo složité na orientaci a mátlo ho.,1,The new city was disorienting and confusing for him.,The new city was complex to navigate and confusing.,4,2
premID184,hypoID733,He kept us in the dark about his plans,Neřekl nám nic o svých plánech.,1,He did not tell us anything about his plans ,He didn't tell us anything about his plans.,4,2
premID65,hypoID258,He was worried they might spill everything about him ,"Bál se, že ho polejí vodou.",0,He was worried they might spill water on him,He was afraid of being doused with water.,1,2
premID74,hypoID295,I had already planted the idea in her mind. ,"Už jsem zasadil semeno, když nápad překřížil mou mysl.",0,I had already planted the seed when an idea crossed my mind,I had already planted the seed when the idea crossed my mind.,2,2
premID35,hypoID137,As for Peleg he took it more like a philosopher. ,"Pokud jde o Pelega, tak odpověděl klidně.",1,As for Peleg he responded calmly.,"As for Peleg, he answered calmly.",3,2
premID171,hypoID683,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","Ve válce proti terorismu, americký prezident musí sledovat nejen hlavní teroristické organizace, ale i jejich spolupracovníky v civilu po celém světě.",0,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their civil counterparts around the world as well ","In the war on terrorism, America's president must monitor not only the major terrorist organizations, but also their plainclothes associates around the world.",2,2
premID105,hypoID419,The President brushed aside the accusations ,Prezident si česal vlasy a mluvil o obviněních.,0,The president brushed his hair and talked about the accusations,The president combed his hair and talked about the accusations.,2,2
premID130,hypoID520,The man still had heavy feelings about the situation ,Vůči té situaci měl člověk stále negativní pocity.,1,Towards the situation the man still held negative feelings,One still had negative feelings about the situation.,3,2
premID48,hypoID190,He always had an interest for the fruit of knowledge ,Vždy se zajímal o původ vědění.,0,He always had an interest for the origins of knowledge,He's always been interested in the origins of knowledge.,2,2
premID16,hypoID61,my soul was a lampless sea and she was the tempest ,Byl jsem zoufalý a myšlenka na ni to zhoršila.,1,i was in despair and the thought of her made things worse,"I was desperate, and the thought of her made it worse.",3,2
premID102,hypoID406,She was just a trophy to Ricardo ,Richard ji viděl jenom jako někoho na předvádění.,1,Ricardo saw her just as someone to display,Richard only saw her as someone to show off.,3,2
premID61,hypoID242,He shot down all my arguments ,Našel nedostatky ve všech mých argumentech.,1,He found flaws in all my arguments,He found flaws in all my arguments.,3,2
premID121,hypoID484,The faculty meeting was a war ,Porada fakulty byla velmi obtížná a emocionální.,1,The faculty meeting was very difficult and emotional,The faculty meeting was very difficult and emotional.,3,2
premID47,hypoID187,From its blue vase the rose of evening drops ,Západ slunce dával mrakům růžové odstíny v modři oblohy.,1,the sunset gives clouds a rose nuance in the blue of the sky,Sunset gave the clouds pink hues in the blue of the sky.,3,2
premID109,hypoID433,The captain was a tall and noble statue. ,"Kapitán byl malý, vznešený a tichý.",0,The captain was short noble and silent.,The captain was small and noble and quiet.,1,2
premID30,hypoID119,After working two years for the company she was burned out ,Po dvou letech práce pro firmu byla v rock and rollu.,0,After working two years for the company she was into rock and roll,"After working for the company for two years, she was in rock and roll.",1,2
premID51,hypoID201,He felt a dark sexual desire ,Cítil jasnou sexuální touhu.,0,He felt a clear sexual desire,He felt a clear sexual desire.,2,2
premID21,hypoID83,You were dying to believe in what you heard ,"Opravdu jsi chtěl uvěřit tomu, co jsi slyšel.",1,You really wanted to believe in what you heard,You really wanted to believe what you heard.,4,2
premID163,hypoID652,We still ignore how the seed of life was planted on our planet ,"Nezajímáme se nadále, jak byla na naší planetě vytvořena voda.",0,We still ignore how water was formed on our planet,We no longer care how water was created on our planet.,2,2
premID111,hypoID442,The children were roses beautiful and forlorn ,Děti byly čilé a hlasité.,0,The children were lively and loud,The children were lively and loud.,2,2
premID160,hypoID639,Time flies ,Čas letí velmi rychle.,1,time passes very fast,Time flies very fast.,4,2
premID162,hypoID646,We dug up some interesting facts ,Vymysleli jsme některá zajímavá fakta.,0,We have invented some interesting facts,We've come up with some interesting facts.,2,2
premID33,hypoID132,The faculty meeting was a real war ,Schůze fakulty byla velmi těžká a emocionální.,1,The faculty meeting was very difficult and emotional,The faculty meeting was very hard and emotional.,3,2
premID74,hypoID296,I had already planted the idea in her mind. ,Už jsem jí vyděsil ohledně jejího nápadu.,0,I had already scared her about the idea.,I already scared her about her idea.,1,2
premID41,hypoID164,Every person has bitter memories ,Každý člověk má smutné vzpomínky.,1,Every person has sad memories,Every person has sad memories.,3,2
premID3,hypoID11,She was the light of my life. ,Přinesla štěstí a radost do mého života.,1,She brought happiness and joy into my life.,She brought happiness and joy into my life.,4,2
premID30,hypoID117,After working two years for the company she was burned out ,"Po dvou letech práce pro firmu byla utahaná, vystresovaná a vyčerpaná.",1,After working two years for the company she was exhausted stressed and depleted,"After two years working for the company, she was tired, stressed and exhausted.",4,2
premID141,hypoID562,The roots of progress are in technological development. ,Technologický vývoj je důsledkem pokroku.,0,Technological development is the consequence of progress.,Technological developments result from progress.,2,2
premID137,hypoID548,The old woman had an open heart ,Stará žena byla milá a velkorysá.,1,The old woman was nice and generous,The old woman was kind and generous.,4,2
premID84,hypoID335,In the worst of times we looked at hope shining in the dark ,V nejhorších časech jsme stále měli naději.,1,In the worst of times we still had hope,"In the worst of times, we still had hope.",4,2
premID109,hypoID435,The captain was a tall and noble statue. ,"Kapitán byl vysoký, vznešený a tichý.",1,The captain was tall noble and silent.,"The captain was tall, noble and quiet.",3,2
premID105,hypoID417,The President brushed aside the accusations ,Prezident dal těmto obviněním malý kredit.,1,The President gave little credit to the accusations,The president has given little credit to these accusations.,4,2
premID106,hypoID422,The animal in the middle of the sea was a mountain. ,Zvíře uprostřed moře bylo malé.,0,The animal in the middle of the sea was small.,The animal in the middle of the sea was small.,1,2
premID171,hypoID684,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","Ve válce proti terorismu, američtí prezidenti musí monitorovat nejen hlavní teroristické organizace, ale také jejich deklarované nepřátele po celém světě.",0,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their declared enemies around the world as well ","In the war on terrorism, American presidents must monitor not only major terrorist organizations, but also their declared enemies around the world.",2,2
premID164,hypoID654,When I looked at my friend after the storm he was a ghost. ,"Když jsem se podíval na svého kamaráda po té bouři, byl bledý a vyděšený.",1,When I looked at my friend after the storm he was pale and scared.,"When I looked at my friend after the storm, he was pale and scared.",4,2
premID93,hypoID369,My lawyer is a shark ,Můj právník je hodný a romantický.,0,My lawyer is kind and romantic,My lawyer is kind and romantic.,1,2
premID27,hypoID108,He had a full bag of memories to unload. ,Měl na vyprávění jen několik vzpomínek.,0,He had very few memories to tell.,He had only a few memories to tell.,2,2
premID12,hypoID45,it is midnight now : all masks fall ,Do půlnoci musíte vrátit všechny masky.,0,by midnight you have to return all the masks,You have until midnight to return all the masks.,2,3
premID3,hypoID10,She was the light of my life. ,Přinesla depresi a nespokojenost do mého života.,0,She brought depression and dissatisfaction into my life.,She brought depression and discontent into my life.,1,3
premID79,hypoID316,I was on a rollercoaster of emotions. ,"Byl jsem na horské dráže, která mi dávala silné emoce.",0,I was on a rollercoaster which gives me strong emotions.,I was on a roller coaster that gave me strong emotions.,2,3
premID18,hypoID71,the crowd was a roaring river ,Dav byl tekutý jako řeka.,0,the crowd was liquid like a river,The crowd was liquid as a river.,2,3
premID39,hypoID154,During the conflict the seeds of peace were planted. ,Během konfliktu byly viditelné základy míru.,1,During the conflict the foundations of peace were visible.,"During the conflict, the foundations of peace were visible.",3,3
premID1,hypoID2,She was ready to turn her hand and heart to anything that promised to yield safety. ,"Byla připravená jednat a postarat se o všechno, co slibovalo bezpečnost.",1,She was ready to act and to look after anything that promised to yield safety.,She was ready to act and take care of everything that promised security.,3,3
premID109,hypoID434,The captain was a tall and noble statue. ,Kapitán byl vysoký šlechtic a nikdy se nepřestal pohybovat.,0,The captain was tall noble and never stopped moving.,The captain was a tall nobleman and never stopped moving.,1,3
premID66,hypoID261,Her joy was blinding ,Její radost byla zelená.,0,Her joy was green,Her joy was green.,1,3
premID180,hypoID720,The faculty meeting was a nightmare,Schůze fakulty byla velmi špatná.,1,the faculty meeting was very bad ,The faculty meeting was very bad.,4,3
premID102,hypoID408,She was just a trophy to Ricardo ,Richard ji velmi miloval.,0,She was very loved by Ricardo,Richard loved her very much.,2,3
premID113,hypoID451,He felt a wave of excitement ,"Cítil, jak ho přemohlo intenzivní vzrušení.",1,he felt an intense excitement overcoming him,He felt himself overcome with intense excitement.,4,3
premID149,hypoID596,The woman burst in a warm laughter ,Žena se začala smát hezkým a příjemným způsobem.,1,The woman started laughing in a nice and pleasant way,"The woman began to laugh in a nice, pleasant way.",4,3
premID49,hypoID194,He attacked every weak point in my argument ,Ignoroval všechna slabá místa mého argumentu.,0,He ignored all the weak points in my argument,He ignored all the weak points of my argument.,1,3
premID79,hypoID315,I was on a rollercoaster of emotions. ,Byl jsem v podivném období mého života.,1,I was in a strange period of my life.,I was at a strange time in my life.,3,3
premID88,hypoID350,The faculty meeting was a circus ,Schůze fakulty byla trapná.,0,The faculty meeting was embarassing,The faculty meeting was awkward.,2,3
premID110,hypoID440,You were hanging yourself on someone else 's words ,Byl jsi každopádně ochotný poslouchat někoho jiného.,1,You were absolutely willing to listen to someone else,"Anyway, you were willing to listen to someone else.",3,3
premID46,hypoID182,For the end of the year I was burned and broken ,Na konci roku jsem šťastný a bohatý.,0,For the end of the year I was happy and wealthy,I'm happy and rich at the end of the year.,1,3
premID30,hypoID118,After working two years for the company she was burned out ,Po dvou letech ve firmě byla plná energie.,0,After working two years for the company she was full of energy,"After two years at the company, she was full of energy.",1,3
premID64,hypoID254,He was so happy he felt his heart was exploding ,"Byl tak šťastný, že cítil, že v něm něco musí vybouchnout.",0,he was so happy he felt he should explode something,He was so happy that he felt something had to explode inside him.,1,3
premID46,hypoID181,For the end of the year I was burned and broken ,Na konci roku jsem zapálil auto a vypukl požár.,0,For the end of the year I burned my car and broke out,"At the end of the year, I set fire to the car and there was a fire.",1,3
premID123,hypoID490,The faculty meeting was a comedy show ,Schůze fakulty byla trapná.,0,The faculty meeting was embarassing,The faculty meeting was awkward.,2,3
premID163,hypoID650,We still ignore how the seed of life was planted on our planet ,"Stále ignorujeme, jak nastal život.",1,We still ignore how life happened,We keep ignoring how life came to be.,3,3
premID25,hypoID100,A break up can leave you with a broken heart. ,Rozchod může způsobit pocit jako když máte mrtvici.,0,A break up can make you feel like you are having a stroke.,Breaking up can make you feel like you're having a stroke.,2,3
premID52,hypoID208,He felt a sudden red pain through his leg ,Cítil najednou bolest procházející jeho nohou a viděl rudě.,0,He felt running through his leg a sudden pain and saw red,He felt a sudden ache running through his leg and saw red.,2,3
premID7,hypoID27,David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance. ,David se podíval na Pavla velmi naštvaně když Pavel pozval jeho novou přítelkyni k tanci.,1,David looked at Paul very angrily when Paul invited his new girlfriend to dance.,David looked at Paul very angrily when Paul invited his new girlfriend to dance.,4,3
premID91,hypoID363,I embarked on life thirty years ago ,Narodil jsem se před třiceti lety.,1,I was born thirty years ago,I was born 30 years ago.,3,3
premID166,hypoID662,With the crisis the bubble exploded. ,S krizí se situace dramaticky změnila.,1,With the crisi the situation changed dramatically.,"With the crisis, the situation has changed dramatically.",4,3
premID97,hypoID385,O Moon your light is failing and now you are just a cold bow ,"Měsíci, tvoje světlo je teď silnější a já mám luk.",0,Moon your light is stronger now and I have a bow,"Moon, your light is stronger now and I have a bow.",1,3
premID171,hypoID681,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","Ve válce proti terorismu, americký prezident musí sledovat nejen hlavní teroristické organizace, ale také jakoukoliv skupiny, které se z nich vyvíjí.",1,"In the war on terror, American presidents must monitor not only the main terrorist organizations but any group developing from them as well ","In the war on terrorism, America's president must monitor not only the major terrorist organizations, but also any groups that evolve from them.",4,3
premID32,hypoID126,All the following sentences have nothing to do with this sentence ,"Myslí si, že tyto dokumenty budou dříve či později zveřejněny.",0,He thinks these documents will be disclosed soon or late,They think these documents will be released sooner or later.,1,3
premID161,hypoID642,War was a nightmare. ,Válka se cítila dobře.,0,War felt good.,The war felt good.,1,3
premID78,hypoID309,I was in a very stormy relationship ,Byl jsem ve velmi komplikovaném vztahu.,1,I was in a very complicated relationship,I was in a very complicated relationship.,3,3
premID49,hypoID196,He attacked every weak point in my argument ,Uměl najít a poukázat na každé slabé místo v mém argumentu.,1,He was able to find and show every weak point in my argument,He could find and point out every weak spot in my argument.,4,3
